filename,width,height,class,xmin,ymin,xmax,ymax
2052.jpg,2000,2000,teeshirt,183,72,1786,1948
2053.jpg,870,1110,teeshirt,68,246,527,1079
2054.jpg,640,821,teeshirt,99,156,555,786
2055.jpg,1686,2529,teeshirt,279,629,1221,2191
2056.jpg,600,900,teeshirt,114,237,559,845
2058.jpg,800,1000,teeshirt,26,172,765,974
2059.jpg,2240,1448,teeshirt,630,171,1618,1448
2060.jpg,900,1200,teeshirt,43,122,869,1194
2061.jpg,626,800,teeshirt,96,123,519,664
2062.jpg,372,372,teeshirt,19,87,179,253
2062.jpg,372,372,teeshirt,216,93,343,281
2063.jpg,1001,1400,teeshirt,153,135,878,1312
2065.jpg,626,800,teeshirt,106,112,559,750
2067.jpg,445,543,teeshirt,52,101,383,428
2068.jpg,560,694,teeshirt,77,125,480,576
2069.jpg,800,1000,teeshirt,26,92,771,906
2070.jpg,2000,2000,teeshirt,237,60,1735,2000
2071.jpg,871,1110,teeshirt,3,173,788,937
2072.jpg,640,821,teeshirt,104,142,528,786
2074.jpg,1080,1620,teeshirt,63,150,1008,1535
2075.jpg,222,333,teeshirt,1,40,216,331
2077.jpg,900,1200,teeshirt,43,107,882,1149
2079.jpg,1001,1400,teeshirt,133,140,895,916
2080.jpg,760,1177,teeshirt,45,135,705,1035
2082.jpg,600,900,teeshirt,38,185,523,815
2083.jpg,445,543,teeshirt,22,47,441,513
2086.jpg,1686,2529,teeshirt,110,656,1571,2137
2087.jpg,2240,1448,teeshirt,600,207,1600,1410
2088.jpg,372,372,teeshirt,121,90,280,277
2089.jpg,1001,1400,teeshirt,95,157,893,1078
2090.jpg,445,543,teeshirt,24,50,437,501
2093.jpg,222,333,teeshirt,10,57,222,296
2094.jpg,445,543,teeshirt,22,50,441,504
2095.jpg,2000,2000,teeshirt,347,63,1768,1854
2096.jpg,372,372,teeshirt,114,100,268,256
2097.jpg,2000,2000,teeshirt,262,66,1707,1987
2098.jpg,800,1000,teeshirt,77,146,729,856
2099.jpg,900,1200,teeshirt,18,133,862,1167
2100.jpg,2000,2000,teeshirt,325,93,1622,1960
2101.jpg,800,1000,teeshirt,47,159,755,951
2102.jpg,445,543,teeshirt,93,131,353,472
2103.jpg,2000,2000,teeshirt,274,60,1809,2000
2104.jpg,800,1000,teeshirt,89,166,742,893
2105.jpg,900,1200,teeshirt,34,116,880,1142
2106.jpg,900,1200,teeshirt,47,122,889,1169
2107.jpg,2000,2000,teeshirt,283,96,1713,1978
2108.jpg,871,1110,teeshirt,174,217,705,1020
2109.jpg,640,821,teeshirt,54,154,583,759
2110.jpg,1686,2529,teeshirt,491,545,1329,1879
2111.jpg,600,900,teeshirt,20,289,477,888
2113.jpg,800,1000,teeshirt,50,162,756,918
2114.jpg,2240,1448,teeshirt,630,189,1593,1448
2115.jpg,900,1200,teeshirt,25,113,865,1096
2116.jpg,626,800,teeshirt,136,129,523,625
2118.jpg,1001,1400,teeshirt,93,127,899,1048
2120.jpg,626,800,teeshirt,103,111,537,689
2122.jpg,445,543,teeshirt,62,135,408,504
2123.jpg,560,694,teeshirt,74,126,476,574
2125.jpg,2000,2000,teeshirt,283,44,1634,1911
2126.jpg,870,1110,teeshirt,386,225,870,803
2128.jpg,1080,1619,teeshirt,86,185,1031,1552
2129.jpg,222,333,teeshirt,6,48,215,325
2131.jpg,900,1200,teeshirt,43,113,849,1180
2133.jpg,1001,1400,teeshirt,146,114,929,925
2134.jpg,760,1177,teeshirt,48,168,720,1027
2136.jpg,600,900,teeshirt,34,364,600,834
2137.jpg,445,543,teeshirt,17,49,436,514
2138.jpg,2000,2000,teeshirt,137,57,1830,2000
2139.jpg,870,1110,teeshirt,218,212,688,739
2139.jpg,870,1110,teeshirt,44,832,308,1096
2139.jpg,870,1110,teeshirt,317,832,571,1096
2139.jpg,870,1110,teeshirt,581,830,840,1093
2140.jpg,1686,2529,teeshirt,310,633,1341,1976
2141.jpg,2240,1448,teeshirt,573,189,1631,1448
2143.jpg,445,543,teeshirt,31,48,432,520
2146.jpg,222,333,teeshirt,12,60,212,277
2147.jpg,445,543,teeshirt,19,47,434,494
2148.jpg,2000,2000,teeshirt,316,57,1753,1999
2149.jpg,372,372,teeshirt,108,86,262,264
2150.jpg,2000,2000,teeshirt,234,35,1771,1954
2151.jpg,800,1000,teeshirt,45,177,745,877
2152.jpg,900,1200,teeshirt,80,113,872,1174
2153.jpg,2000,2000,teeshirt,310,75,1740,1981
2154.jpg,800,1000,teeshirt,36,156,762,906
2155.jpg,445,543,teeshirt,79,174,355,524
2156.jpg,2000,2000,teeshirt,204,84,1738,2000
2157.jpg,800,1000,teeshirt,100,157,767,919
2158.jpg,2000,2000,teeshirt,295,60,1753,1990
2159.jpg,871,1110,teeshirt,1,268,412,971
2160.jpg,640,821,teeshirt,65,151,600,794
2161.jpg,1686,2529,teeshirt,268,572,1598,2237
2162.jpg,600,900,teeshirt,57,232,546,900
2164.jpg,800,1000,teeshirt,27,153,797,945
2165.jpg,2240,1448,teeshirt,677,141,1637,1448
2166.jpg,900,1200,teeshirt,49,109,871,1065
2167.jpg,626,800,teeshirt,116,122,527,657
2168.jpg,372,372,teeshirt,31,84,185,277
2168.jpg,372,372,teeshirt,193,79,343,247
2169.jpg,1001,1400,teeshirt,106,138,882,948
2171.jpg,626,800,teeshirt,127,117,519,686
2173.jpg,445,543,teeshirt,35,98,434,528
2174.jpg,560,694,teeshirt,71,136,464,589
2175.jpg,800,1000,teeshirt,17,100,786,868
2176.jpg,2000,2000,teeshirt,201,60,1743,1923
2177.jpg,870,1110,teeshirt,46,249,629,913
2179.jpg,1080,1620,teeshirt,91,217,983,1570
2180.jpg,222,333,teeshirt,2,46,222,295
2182.jpg,900,1200,teeshirt,45,120,900,1090
2184.jpg,1001,1400,teeshirt,133,133,935,1014
2185.jpg,760,1177,teeshirt,29,190,732,1038
2187.jpg,600,900,teeshirt,100,262,522,833
2188.jpg,445,543,teeshirt,15,42,430,506
2189.jpg,2000,2000,teeshirt,334,75,1831,1987
2190.jpg,871,1110,teeshirt,246,229,674,996
2191.jpg,2240,1448,teeshirt,584,180,1625,1407
2192.jpg,372,372,teeshirt,122,87,271,270
2193.jpg,445,543,teeshirt,15,44,427,502
2196.jpg,222,333,teeshirt,13,58,216,282
2197.jpg,445,543,teeshirt,16,52,433,515
2198.jpg,2000,2000,teeshirt,292,72,1694,2000
2200.jpg,2000,2000,teeshirt,289,81,1743,1941
2201.jpg,800,1000,teeshirt,77,157,708,846
2202.jpg,900,1200,teeshirt,29,123,871,1165
2203.jpg,2000,2000,teeshirt,301,78,1753,1975
2204.jpg,800,1000,teeshirt,15,153,777,940
2205.jpg,445,543,teeshirt,99,149,369,514
2206.jpg,2000,2000,teeshirt,250,81,1768,1999
2207.jpg,800,1000,teeshirt,82,168,762,886
2208.jpg,2000,2000,teeshirt,253,26,1773,2000
2209.jpg,871,1110,teeshirt,190,224,647,912
2210.jpg,640,821,teeshirt,144,180,518,730
2211.jpg,1686,2529,teeshirt,329,645,1364,2099
2213.jpg,800,1000,teeshirt,33,165,774,1000
2214.jpg,2240,1448,teeshirt,634,185,1592,1448
2215.jpg,900,1200,teeshirt,36,116,878,1174
2216.jpg,626,800,teeshirt,141,112,523,663
2217.jpg,372,372,teeshirt,15,80,180,256
2217.jpg,372,372,teeshirt,205,85,361,278
2218.jpg,1001,1400,teeshirt,116,114,882,914
2220.jpg,626,800,teeshirt,92,117,585,703
2222.jpg,445,543,teeshirt,41,90,350,463
2223.jpg,560,694,teeshirt,56,137,490,610
2224.jpg,800,1000,teeshirt,21,151,800,890
2225.jpg,2000,2000,teeshirt,392,54,1707,1960
2226.jpg,871,1110,teeshirt,129,213,678,896
2228.jpg,1080,1620,teeshirt,48,290,1071,1545
2229.jpg,222,333,teeshirt,4,51,220,305
2231.jpg,900,1200,teeshirt,29,114,894,1129
2232.jpg,372,372,teeshirt,110,82,256,271
2233.jpg,1001,1400,teeshirt,148,129,891,1008
2234.jpg,760,1177,teeshirt,36,172,727,974
2236.jpg,600,900,teeshirt,107,234,523,764
2237.jpg,445,543,teeshirt,14,52,429,509
2238.jpg,2000,2000,teeshirt,219,81,1762,1972
2239.jpg,870,1110,teeshirt,66,274,598,907
2240.jpg,372,372,teeshirt,116,90,267,282
2241.jpg,445,543,teeshirt,19,51,438,511
2244.jpg,222,333,teeshirt,9,58,218,285
2245.jpg,445,543,teeshirt,14,50,435,504
2246.jpg,2000,2000,teeshirt,277,66,1734,1966
2248.jpg,2000,2000,teeshirt,280,75,1686,1954
2249.jpg,800,1000,teeshirt,65,166,721,895
2250.jpg,900,1200,teeshirt,12,122,894,1133
2251.jpg,2000,2000,teeshirt,228,75,1747,1990
2252.jpg,800,1000,teeshirt,35,159,789,943
2253.jpg,445,543,teeshirt,88,150,363,518
2254.jpg,2000,2000,teeshirt,189,78,1810,1996
2255.jpg,800,1000,teeshirt,73,151,767,910
2256.jpg,2000,2000,teeshirt,231,57,1765,1960
2257.jpg,871,1110,teeshirt,344,235,844,835
2258.jpg,640,821,teeshirt,122,181,489,740
2259.jpg,1686,2529,teeshirt,221,641,1252,2199
2261.jpg,800,1000,teeshirt,80,159,747,896
2262.jpg,2240,1448,teeshirt,646,171,1569,1448
2263.jpg,900,1200,teeshirt,58,114,852,1153
2264.jpg,626,800,teeshirt,119,116,518,617
